epoch,start_height,end_height,target,target_hex,epoch_minimum,epoch_minimum_hex,epoch_minimum_height,pre_g1,pre_g2,pre_g2_over_g1,lambda,deposit,transition_class,crossing_count,selective_opportunity,deeper_records_after_first_crossing,max_shallow_over_deep,post_g1,post_g2
46,92736,94751,3926013280397599483741094494745234959951218212740030386090803200,0000000000098b2a000000000000000000000000000000000000000000000000,10873399711833366775237580746772158526504262170211544095081719,00000000000006c43b85f483ceaa9b6655439def60e7a8300eef380ff7cd44f7,94330,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,2.718281828459045,0.7062987620746937,False,neither,0,False,0,,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794
47,94752,96767,3337321571246095014985518819479127172783474909736415373333364736,0000000000081cd2000000000000000000000000000000000000000000000000,2289183420156765050240857477924970978449241916538081518241947,000000000000016cb01e1452ba6b70431fbf7f8d81ee9c11ea8b5bfca1c7489b,96128,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,2.718281828459045,0.8308873630053778,False,neither,0,False,0,,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794
48,96768,98783,2200419182034594781720344474937177839165432393990533906392154112,0000000000055953000000000000000000000000000000000000000000000000,1548334185959269425889951224162946827002236287778615943316377,00000000000000f6a9f32ba9487f9ef9940f49797ba72b44bd0c34ef59b14399,98378,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,2.718281828459045,1.2601863965163507,False,neither,0,False,0,,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794
49,98784,100799,1861311314983800126815643622927230076368334845814253369901973504,000000000004864c000000000000000000000000000000000000000000000000,1208809089261672952867593775996331668547428149634860413699075,00000000000000c0930bc3046ce0fab487933b847c7226bdf0e86f4a7c094403,100120,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,2.718281828459045,1.4897767490645517,True,new-second,1,False,0,,506005456102814796177780349794937614095283630387626292872297,1208809089261672952867593775996331668547428149634860413699075
50,100800,102815,1653206561150525499452195696179626311675293455763937233695932416,00000000000404cb000000000000000000000000000000000000000000000000,51513992047619721142253113510155838889202293428317283079697,000000000000000834e72c05564b54cc21ac27fb0cbe4ec686bfe607273ad611,101777,506005456102814796177780349794937614095283630387626292872297,1208809089261672952867593775996331668547428149634860413699075,2.388925009962849,1.4740802397103758,True,unique-min,2,False,0,,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297
51,102816,104831,1462200632444444190489436459820840230299714881944341127503020032,0000000000038dee000000000000000000000000000000000000000000000000,2093311665446566232350850259008609513785006820001071789162324,000000000000014d7bd98aa1414ff92fe2ace18f61ff7c28f810683a7566bf54,104011,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,2.718281828459045,0.6976518658714458,False,neither,0,False,0,,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297
52,104832,106847,1224744150896501443874292381730317417444978877835711165914677248,000000000002fa29000000000000000000000000000000000000000000000000,570030706869195039872775931928812767507653418357947531627534,000000000000005acfa644fd281ecf85005c7514c05eade6710a8a9353898c0e,104995,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,2.718281828459045,0.8329143672632082,False,neither,0,False,0,,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297
53,106848,108863,1036989760889350435547200084292752907272941324136347429599444992,0000000000028552000000000000000000000000000000000000000000000000,539069778679505926481340982304209466954827537084447978194827,0000000000000055e0f718bb56d56d4ae70653cf2be37c3e1b2d7dc3926c878b,107249,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,2.718281828459045,0.9837194521847576,False,neither,0,False,0,,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297
54,108864,110879,739430030225080220618328322475016688484025266646974337550123008,000000000001cc26000000000000000000000000000000000000000000000000,226245792570664031910744183590507628830030348858878430519740,00000000000000240b044a3090d3ae4f9b342a840640240304eaa8f68a0fa1bc,110501,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,2.718281828459045,1.3795855697025954,True,new-second,2,True,1,1.7081138349054608,186149004420804295878679231933824560806529768260682405117094,226245792570664031910744183590507628830030348858878430519740
55,110880,112895,484975157177710342494716926626447514974484083994735770500857856,0000000000012dcd000000000000000000000000000000000000000000000000,382967082282480501869296746565407633131711441979811555318627,000000000000003d029ae6a6ce79319d9ab52ff485ea51e38c3a4c0e05421b63,111884,186149004420804295878679231933824560806529768260682405117094,226245792570664031910744183590507628830030348858878430519740,1.2154015718462712,0.9404842930033319,False,neither,0,False,0,,186149004420804295878679231933824560806529768260682405117094,226245792570664031910744183590507628830030348858878430519740
